DoctorID,FirstName,LastName,Specialty,PhoneNumber,Email,Address,Availability,DepartmentID
1,Adam,Orr,Urology,001-450-951-5845x482,adam@yahoo.com,615 Dylan Ridges,6,8
2,Vanessa,Ferguson,Otolaryngology,+1-907-534-2965x4248,vanessa@yahoo.com,190 Russell Walks Suite 927,10,9
3,Melody,Walsh,Oncology,235.771.3322x02301,melody@hotmail.com,387 Matthew Inlet,10,9
4,Michelle,Buckley,Vascular Surgery,(857)344-3120x87191,michelle@gmail.com,065 Williams Extension Apt. 991,11,20
5,John,Cooper,Gastroenterology,736-283-0753,john@yahoo.com,161 Wright Bridge Apt. 134,4,9
6,William,Stein,Critical Care,001-263-700-2301x65506,william@hotmail.com,0629 Lawrence Knolls Apt. 873,11,5
7,Stephanie,Maxwell,Neurology,+1-813-779-8569x91977,stephanie@hotmail.com,7080 Kenneth Station,5,8
8,Mark,Miller,Gynecology,365.400.5857x4972,mark@hotmail.com,3771 Clayton Mill,7,9
9,Jason,Jackson,Gynecology,614-369-8267x1997,jason@yahoo.com,7290 Gilbert Course,12,9
10,Angel,Horn,Ophthalmology,(659)728-3469x7390,angel@yahoo.com,968 Andrea Plain,6,9
11,Rachael,Brown,General Surgery,001-319-351-7233,rachael@yahoo.com,8222 Joshua Fort,6,20
12,Kyle,Rodriguez,Critical Care,(602)890-9950x23972,kyle@hotmail.com,251 Faulkner Dam Apt. 470,5,5
13,Adam,Ramos,Pain Medicine,433-676-8663x14911,adam@hotmail.com,812 Lee Ports,4,28
14,Shelly,Graham,Oncology,342-418-2880x81373,shelly@gmail.com,3168 Jackson Locks,9,9
15,Michael,Mcbride,Dermatology,(862)406-7978x275,michael@gmail.com,6915 Smith Common,6,16
16,Blake,Williams,Psychiatry,+1-425-600-9764x7064,blake@gmail.com,7631 Harper Trafficway Suite 544,6,23
17,Nicole,Cox,Otolaryngology,9652612135,nicole@yahoo.com,9225 Courtney Crest,4,9
18,Mark,Young,Hematology,897-723-8161x835,mark@gmail.com,023 Powell Camp,9,16
19,Kristin,Tyler,Orthopedics,+1-739-235-8440x473,kristin@yahoo.com,00186 Tyler Greens,7,1
20,Tracy,Miller,Psychiatry,600-328-1540x22993,tracy@yahoo.com,640 Madison Isle Apt. 932,4,23
21,Brandon,Grant,Gastroenterology,(940)763-5704,brandon@hotmail.com,88493 Caroline Spurs Apt. 577,10,9
22,Michael,Watts,Hematology,900.448.6388x68029,michael@yahoo.com,99047 Alejandro Trafficway,11,16
23,Jessica,Hernandez,Endocrinology,680-938-5160x6057,jessica@yahoo.com,07388 Freeman Crest,10,9
24,Gail,Romero,Ophthalmology,854-329-9691,gail@hotmail.com,4573 Gary Burgs,10,9
25,Bridget,Simmons,Dermatology,(440)654-9188x8264,bridget@gmail.com,9933 Singleton Lakes,7,16
26,Erika,Vasquez,Cardiology,+1-716-908-5318x88971,erika@gmail.com,6765 Fisher Keys Apt. 458,4,11
27,Jennifer,Terrell,General Surgery,736.529.3104,jennifer@gmail.com,69463 Larry Camp,4,20
28,Shelby,Robertson,Gynecology,+1-982-567-4009x497,shelby@hotmail.com,7878 Sparks Springs Apt. 401,5,9
29,Elijah,Sanchez,Internal Medicine,001-632-892-6317x127,elijah@hotmail.com,497 Clements Unions Suite 694,9,25
30,Drew,Jackson,Vascular Surgery,(330)715-9008x84624,drew@hotmail.com,30617 Davis Trail Suite 195,4,20
31,Kevin,Cruz,Infectious Disease,698.268.0666x278,kevin@hotmail.com,0218 Katie Highway,9,13
32,Cindy,Mcdonald,Gastroenterology,(769)358-9443x07093,cindy@hotmail.com,1640 Mccarthy Station,6,9
33,Samuel,Chang,Neurology,723.295.8166x0996,samuel@hotmail.com,16372 Eugene Mill Apt. 891,4,8
34,Jeffery,Coffey,Gynecology,442-204-8572x44319,jeffery@gmail.com,93282 Gutierrez Manor Apt. 644,7,9
35,Matthew,Clark,Pulmonology,(815)634-7999,matthew@yahoo.com,660 Joseph Pike,11,9
36,James,Ayala,Orthopedics,441.851.2344,james@gmail.com,63830 Tucker Courts,12,1
37,Allison,Trujillo,Nephrology,(515)904-8399x594,allison@hotmail.com,0368 Amanda Trace,7,8
38,Timothy,Newman,Vascular Surgery,+1-408-554-6985x59961,timothy@hotmail.com,31979 Davis Creek,12,20
39,Teresa,Newton,Obstetrics,3427593230,teresa@hotmail.com,7598 Steven Street,9,1
40,Spencer,Williams,Infectious Disease,694.961.9979x13622,spencer@yahoo.com,3997 Moore Island Suite 912,8,13
41,Lindsay,Montgomery,Hematology,(536)871-7054x090,lindsay@gmail.com,62969 Tamara Stream,9,16
42,Kim,King,Oncology,001-363-557-4874x9447,kim@yahoo.com,820 James Lake,4,9
43,Jesus,Ross,Neurology,(855)851-6319,jesus@yahoo.com,74588 Burke Roads,11,8
44,Christopher,Alvarez,Rheumatology,+1-907-513-8114x7284,christopher@gmail.com,899 Lopez Fall,10,9
45,Lawrence,Pollard,Obstetrics,+1-853-451-6093x951,lawrence@yahoo.com,11998 Moore Extension,8,1
46,Julia,Pope,Nephrology,001-995-990-9260,julia@gmail.com,2074 Price Park,7,8
47,Seth,Stewart,Cardiology,(204)291-8664,seth@hotmail.com,49698 Russell Mall Apt. 158,11,11
48,Kathleen,Lee,Infectious Disease,557.207.0240,kathleen@yahoo.com,50181 Megan Dam Apt. 139,12,13
49,Lauren,Thomas,Pain Medicine,929-397-6719,lauren@gmail.com,691 Thomas Pass Suite 212,9,28
50,Elaine,Ali,Critical Care,506.511.7442x889,elaine@yahoo.com,217 Martinez Canyon Apt. 341,12,5
51,Paul,Williams,Obstetrics,001-974-421-0908x783,paul@gmail.com,21680 Mcconnell Springs Apt. 695,5,1
52,Lori,Page,Gynecology,(269)525-4671,lori@gmail.com,1768 Tracy Junctions,9,9
53,Zachary,Ortiz,Pulmonology,504.901.2162x5557,zachary@yahoo.com,8579 Robin Light Apt. 603,5,9
54,David,Myers,Ophthalmology,(892)313-5181x611,david@yahoo.com,6698 Kevin Brook Apt. 543,8,9
55,Jamie,Brooks,Gynecology,(863)811-8579,jamie@hotmail.com,58705 Sampson Gateway,10,9
56,Jonathon,Stout,Cardiology,470.681.0110x0944,jonathon@gmail.com,9873 Kyle Harbor,7,11
57,Patricia,Mitchell,Psychiatry,001-279-308-9456x06736,patricia@hotmail.com,1782 Frazier Forks,10,23
