StaffID,FirstName,LastName,Role,PhoneNumber,Email,Address,ShiftHours,DepartmentID
1,Anthony,Hall,Receptionist,(688)775-5883,anthony@hotmail.com,59031 Nancy Mountain,Night,8
2,James,Morris,Technician,418-950-1394,james@gmail.com,693 Perez Circles Suite 874,Night,16
3,Elizabeth,Miller,Receptionist,001-254-384-0308x5423,elizabeth@gmail.com,6449 Sarah Square,Day,20
4,Richard,Mora,Receptionist,001-529-384-7409,richard@gmail.com,56933 Olson Square Apt. 432,Day,5
5,Katie,Mcgee,Technician,001-866-410-3200x9688,katie@gmail.com,20426 Lonnie Square,Day,15
6,Jacob,Harrison,Administrator,+1-811-391-5489,jacob@gmail.com,213 Jesse Mall Suite 402,Night,15
7,Patricia,Williams,Receptionist,8957522034,patricia@yahoo.com,0805 Espinoza Vista Suite 163,Night,6
8,Clifford,Williams,Technician,507-988-8139x10873,clifford@gmail.com,804 Hicks Hill Suite 458,Night,11
9,Rachel,Rice,Administrator,(885)864-4212x7243,rachel@yahoo.com,130 Rebecca Island,Day,30
10,Brian,Clark,Nurse,575.699.1058x8646,brian@hotmail.com,05249 Burke Locks,Night,4
11,Brenda,Smith,Technician,(847)640-6057x093,brenda@hotmail.com,7733 Clay Canyon,Night,6
12,Elizabeth,Miller,Receptionist,+1-789-965-9041x4706,elizabeth@hotmail.com,723 Dillon Pine,Day,20
13,Katherine,Douglas,Technician,683.498.5985,katherine@yahoo.com,39339 Ross Gateway Suite 324,Night,3
14,Frederick,Webster,Technician,(468)954-7723,frederick@yahoo.com,87938 Davis Summit Suite 269,Day,4
15,Samuel,Rodriguez,Nurse,852-358-5534x13094,samuel@yahoo.com,7100 Wilson Row Apt. 121,Day,13
16,Richard,Hampton,Receptionist,001-459-412-1592x663,richard@gmail.com,879 Sandra Glens,Day,9
17,Heather,Rice,Technician,001-607-935-2526x9010,heather@gmail.com,106 Caleb Glens,Day,13
18,Justin,Garner,Nurse,223.206.0791x1640,justin@yahoo.com,9220 Hall Rapids,Day,9
19,Shaun,Jones,Receptionist,001-407-372-5247x710,shaun@hotmail.com,755 Maria Vista Suite 421,Day,3
20,Emily,Alvarado,Administrator,001-498-475-4700,emily@hotmail.com,38388 Farmer Orchard,Night,27
21,Henry,Huff,Receptionist,+1-513-676-8951x75465,henry@hotmail.com,95131 Douglas Route Suite 581,Night,14
22,Keith,Ramirez,Nurse,5812777273,keith@yahoo.com,358 Tammy Landing Apt. 891,Night,8
23,Paul,Durham,Administrator,001-273-531-6530x9964,paul@gmail.com,3635 Burke Forge,Night,5
24,Matthew,Allen,Technician,928.617.2394x378,matthew@yahoo.com,4582 Donna Curve Suite 672,Day,18
25,Carlos,Davis,Receptionist,(324)424-0438x17756,carlos@hotmail.com,000 Hunter Meadows,Day,21
26,Dawn,Matthews,Receptionist,+1-709-213-3287x8256,dawn@hotmail.com,2834 Jose Fork,Night,26
27,Cynthia,Jones,Administrator,393-223-7159x196,cynthia@yahoo.com,5091 Romero Haven,Day,3
28,Adam,Morris,Administrator,268.932.6955x717,adam@hotmail.com,256 Walter Landing,Night,2
29,Casey,Parrish,Technician,(817)334-8139x059,casey@hotmail.com,0515 Edwards Mountain,Day,20
30,Eric,Rivas,Nurse,(845)276-5243,eric@hotmail.com,6691 Andrew Road,Night,23
31,Christopher,Evans,Technician,+1-218-721-3535x63095,christopher@hotmail.com,99126 Davis Hills Apt. 870,Night,13
32,Michael,Colon,Nurse,387.737.1788x066,michael@gmail.com,9328 Gloria Radial Suite 614,Day,24
33,Karen,Walls,Administrator,659.325.7917,karen@yahoo.com,476 Franco Lodge Apt. 647,Night,1
34,Matthew,Maldonado,Nurse,+1-879-889-5847,matthew@hotmail.com,085 Cindy Well Apt. 055,Day,25
35,Kari,Jones,Technician,+1-806-734-5994x08605,kari@yahoo.com,929 Scott Wells,Day,17
36,Jeremy,Joseph,Administrator,404.833.1718x877,jeremy@gmail.com,758 Bennett Brook,Day,12
37,Matthew,White,Nurse,+1-625-480-8650,matthew@hotmail.com,977 Long Rapid,Night,30
38,Linda,Schmidt,Technician,495-454-6011x86584,linda@gmail.com,974 Ronald Burg Suite 669,Night,22
39,Carla,Powers,Nurse,858-773-4339x75375,carla@yahoo.com,737 Terrence Canyon,Night,30
40,Rhonda,Ritter,Receptionist,397.645.4771x13773,rhonda@hotmail.com,807 Anderson Dale,Day,12
41,Stephanie,Oneill,Receptionist,310.656.9598,stephanie@yahoo.com,147 Robin Track,Night,7
42,Heather,Ali,Administrator,558.304.3429,heather@yahoo.com,9011 Frederick Ridges Suite 658,Night,3
43,Craig,Murphy,Receptionist,715-451-8368x08517,craig@yahoo.com,4580 Dean Mission,Day,1
44,Kevin,Dunn,Administrator,+1-969-796-3317x77047,kevin@hotmail.com,96242 William Stream,Day,6
45,Marissa,Powell,Administrator,001-325-551-8312,marissa@gmail.com,760 Haynes Shoal,Day,6
46,Michael,Klein,Administrator,508.464.4154x573,michael@hotmail.com,1388 Leah Prairie,Night,8
47,David,Adams,Receptionist,554.774.8987x8386,david@gmail.com,396 Laura Orchard Suite 003,Night,24
48,Joseph,Wagner,Administrator,+1-299-384-9721,joseph@yahoo.com,0608 Ryan Causeway Apt. 293,Day,12
49,Samuel,Henry,Nurse,804.526.4398,samuel@yahoo.com,79178 Miller Forges Suite 501,Day,5
50,Timothy,Schwartz,Technician,+1-625-989-7724,timothy@gmail.com,33086 Cohen Loop,Day,11
51,William,Green,Receptionist,371.353.8850x5052,william@yahoo.com,99654 Bailey Mews,Day,3
52,Richard,Anderson,Receptionist,(293)425-6635,richard@hotmail.com,34993 Brandon Camp,Night,24
53,Joyce,Moore,Administrator,+1-664-623-4145x4739,joyce@hotmail.com,1380 Blake Crescent,Night,28
54,Robin,Martin,Nurse,+1-275-239-6748,robin@hotmail.com,171 Bradley Courts Suite 182,Day,19
55,Joseph,Cook,Receptionist,762-399-5605x78639,joseph@hotmail.com,5136 Lambert Ways,Night,15
56,Kayla,Cross,Administrator,965.657.7046,kayla@hotmail.com,6950 Leah Cove,Night,7
57,Caitlin,Marshall,Receptionist,+1-547-300-8378x190,caitlin@gmail.com,25849 Barbara Island Suite 951,Day,13
58,Russell,Wilson,Technician,221.849.6115,russell@gmail.com,65843 Alicia Pike Suite 535,Night,2
59,Anita,Johnson,Nurse,(821)566-2580x838,anita@yahoo.com,44225 Pierce Harbors Suite 216,Night,15
60,Amber,Williams,Administrator,(591)813-5442x120,amber@hotmail.com,92509 Kathleen Oval Apt. 910,Night,12
61,Timothy,Jones,Administrator,642.960.7949x95404,timothy@yahoo.com,31975 Mario Lock Suite 753,Night,25
62,Joy,Khan,Administrator,3293182734,joy@yahoo.com,48564 Farrell Shore Suite 497,Night,7
63,Michael,Navarro,Receptionist,775-767-3800,michael@yahoo.com,3966 Rogers Crescent,Day,2
64,Kelly,Evans,Nurse,+1-333-685-1005x021,kelly@yahoo.com,437 Kennedy Land,Day,16
65,Sydney,Potter,Receptionist,875.389.2074x61012,sydney@yahoo.com,63046 Karina Rue Suite 353,Night,16
